Posicion_X_nm,Posicion_Y_nm,Posicion_Z_nm,Fuerza_X_N,Fuerza_Y_N,Fuerza_Z_N,Fuerza_Magnitud_N
-210,20,0,1.79674240888335e-14,-1.71118324655557e-15,1.27340826458748e-17,1.8048729557732e-14
-210,30,0,1.62576040115277e-14,-2.32251485878967e-15,1.15222744623509e-17,1.64226641026281e-14
-210,40,0,1.41336895591297e-14,-2.69213134459613e-15,1.00169841943714e-17,1.43878021973608e-14
-210,50,0,1.18054578416899e-14,-2.81082329564044e-15,8.3668885057374e-18,1.21354700138089e-14
-210,60,0,9.47410941208607e-15,-2.70688840345316e-15,6.71458530631196e-18,9.85322480544227e-15
-210,70,0,7.30503373424609e-15,-2.4350112447487e-15,5.17729164844658e-18,7.70018340202847e-15
-210,80,0,5.41170753763751e-15,-2.06160287148095e-15,3.83543198695381e-18,5.79109657864205e-15
-210,90,0,3.85189700923916e-15,-1.65081300395964e-15,2.72994666328926e-18,4.19073998196459e-15
-210,100,0,2.63416675704417e-15,-1.25436512240198e-15,1.86690517223247e-18,2.91757945042634e-15
-210,110,0,1.73077297942959e-15,-9.06595370177405e-16,1.22664410631235e-18,1.95384026373868e-15
-210,120,0,1.09261003797535e-15,-6.24348593128774e-16,7.74360363172978e-19,1.25841505889764e-15
-210,130,0,6.62702331520798e-16,-4.10244300465256e-16,4.69673301931007e-19,7.79406817304249e-16
-210,140,0,3.86189124081135e-16,-2.5745941605409e-16,2.7370129588728e-19,4.64141643666959e-16
-210,150,0,2.16226940454571e-16,-1.54447814610408e-16,1.53244908494295e-19,2.65722111801554e-16
-210,160,0,1.16318230750395e-16,-8.86234139050627e-17,8.24372461143209e-20,1.4623285230409e-16
-210,170,0,6.01193102793092e-17,-4.86680130832503e-17,4.26078006660739e-20,7.73492649050782e-17
-210,180,0,2.9854404019144e-17,-2.55894891592663e-17,2.11584076376846e-20,3.93205778498829e-17
-210,190,0,1.42439694862687e-17,-1.28874009637669e-17,1.00949707142272e-20,1.92087446813967e-17
-210,200,0,6.52952928838905e-18,-6.21859932227529e-18,4.62759525936333e-21,9.01697020476229e-18
-210,210,0,2.87581485882424e-18,-2.87581485882424e-18,2.03813943647131e-21,4.06701688691858e-18
-210,220,0,1.21693723838996e-18,-1.27488663069425e-18,8.62463327993952e-22,1.76246217183408e-18
-210,230,0,4.94770327218792e-19,-5.41891310763439e-19,3.50651421802576e-22,7.33787429936987e-19
-210,240,0,1.93271277858412e-19,-2.20881460409614e-19,1.36974205864725e-22,2.93500298397873e-19
-210,250,0,7.25369343883244e-20,-8.63534933194338e-20,5.14079397176453e-23,1.12776483815119e-19
-200,-250,0,1.56852332444129e-19,1.96065415555162e-19,1.16721718776297e-22,2.51086270022758e-19
-200,-240,0,4.17925694521372e-19,5.01510833425646e-19,3.10999912160799e-22,6.52820878116963e-19
-200,-230,0,1.06988073881914e-18,1.23036284964201e-18,7.96153996230496e-22,1.63047176330551e-18
-200,-220,0,2.63147876384941e-18,2.89462664023436e-18,1.95822284608176e-21,3.91197491116464e-18
-200,-210,0,6.21859932227529e-18,6.52952928838905e-18,4.62759525936333e-21,9.01697020476229e-18
-200,-200,0,1.41193104145447e-17,1.41193104145447e-17,1.05069542845231e-20,1.99677230439685e-17
-200,-190,0,3.08008430661387e-17,2.92608009128318e-17,2.29206293664939e-20,4.24839608440707e-17
-200,-180,0,6.45564929704762e-17,5.81008436734286e-17,4.80401611037055e-20,8.68518919084001e-17
-200,-170,0,1.30000632128635e-16,1.10500537309339e-16,9.67410044897493e-20,1.7061811878672e-16
