Posicion_X_nm,Posicion_Y_nm,Fuerza_X_N,Fuerza_Y_N
-219.387755102041,-45.9183673469388,5.95640667209953E-15,1.24668976857897E-15
-219.387755102041,-35.7142857142857,7.03617460866514E-15,1.14542377350363E-15
-219.387755102041,-25.5102040816326,7.97261529507603E-15,9.2704829012512E-16
-219.387755102041,-15.3061224489796,8.66516709572754E-15,6.04546541562387E-16
-219.387755102041,-5.10204081632653,9.03368636773204E-15,2.10085729482141E-16
-219.387755102041,5.10204081632653,9.03368636773204E-15,-2.10085729482141E-16
-219.387755102041,15.3061224489796,8.66516709572754E-15,-6.04546541562387E-16
-219.387755102041,25.5102040816326,7.97261529507603E-15,-9.2704829012512E-16
-219.387755102041,35.7142857142857,7.03617460866514E-15,-1.14542377350363E-15
-219.387755102041,45.9183673469388,5.95640667209953E-15,-1.24668976857897E-15
-219.387755102041,56.1224489795918,4.83664272392111E-15,-1.23728069681703E-15
-219.387755102041,66.3265306122449,3.76717337086206E-15,-1.13891287956295E-15
-219.387755102041,76.530612244898,2.81448630978319E-15,-9.8179754992437E-16
-219.387755102041,86.734693877551,2.01694755963793E-15,-7.97397872414995E-16
-219.387755102041,96.9387755102041,1.38644295820071E-15,-6.12614330367754E-16
-219.387755102041,107.142857142857,9.14158157649979E-16,-4.46449332805804E-16
-219.387755102041,117.34693877551,5.78166075259298E-16,-3.09251621650322E-16
-219.387755102041,127.551020408163,3.5074848561286E-16,-2.03923538147012E-16
-219.387755102041,137.755102040816,2.04103727995574E-16,-1.28158154787918E-16
-219.387755102041,147.959183673469,1.1392472874785E-16,-7.68329565973872E-17
-219.387755102041,158.163265306122,6.09953885870544E-17,-4.39734196790392E-17
-219.387755102041,168.367346938775,3.13247731771315E-17,-2.40399422057056E-17
-219.387755102041,178.571428571429,1.5430883794939E-17,-1.2560021693555E-17
-219.387755102041,188.775510204082,7.29131061386422E-18,-6.2739184351855E-18
-219.387755102041,198.979591836735,3.30470221983871E-18,-2.99728805985371E-18
-219.387755102041,209.183673469388,1.43671622990051E-18,-1.36989221920746E-18
-219.387755102041,219.387755102041,5.9913073162614E-19,-5.9913073162614E-19
-219.387755102041,229.591836734694,2.39653694759165E-19,-2.50800378236335E-19
-219.387755102041,239.795918367347,9.19514526071149E-20,-1.00505076105451E-19
-219.387755102041,250,3.38411406679705E-20,-3.85631602960595E-20
-209.183673469388,-250,7.73766272417324E-20,9.24745057279241E-20
-209.183673469388,-239.795918367347,2.10243896401924E-19,2.41011295875377E-19
-209.183673469388,-229.591836734694,5.47960093557077E-19,6.01419614879718E-19
-209.183673469388,-219.387755102041,1.36989221920746E-18,1.43671622990051E-18
-209.183673469388,-209.183673469388,3.28500322326743E-18,3.28500322326743E-18
-209.183673469388,-198.979591836735,7.55609021335E-18,7.18750044684512E-18
-209.183673469388,-188.775510204082,1.66713359046971E-17,1.50448641091169E-17
-209.183673469388,-178.571428571429,3.52821955716273E-17,3.0118947439194E-17
-209.183673469388,-168.367346938775,7.16230378090943E-17,5.76478109195149E-17
-209.183673469388,-158.163265306122,1.39463899650554E-16,1.05448314369931E-16
-209.183673469388,-147.959183673469,2.60485051507348E-16,1.84245524236904E-16
-209.183673469388,-137.755102040816,4.6667629305881E-16,3.07323412502143E-16
-209.183673469388,-127.551020408163,8.01974587477272E-16,4.89008894803215E-16
-209.183673469388,-117.34693877551,1.32195723921462E-15,7.4158576833991E-16
-209.183673469388,-107.142857142857,2.09019180821123E-15,1.07058604810819E-15
-209.183673469388,-96.9387755102041,3.17005508240853E-15,1.4690499162381E-15
-209.183673469388,-86.734693877551,4.61168259722709E-15,1.91216107689904E-15
-209.183673469388,-76.530612244898,6.43522806180043E-15,2.35435172992699E-15
-209.183673469388,-66.3265306122449,8.61351490876774E-15,2.73111448326782E-15
-209.183673469388,-56.1224489795918,1.10588205292357E-14,2.96700062979495E-15
-209.183673469388,-45.9183673469388,1.36191230458494E-14,2.98956359543036E-15
-209.183673469388,-35.7142857142857,1.60879760303065E-14,2.74672761493037E-15
-209.183673469388,-25.5102040816326,1.82291160893141E-14,2.22306293772124E-15
-209.183673469388,-15.3061224489796,1.98126124333229E-14,1.44970334877972E-15
-209.183673469388,-5.10204081632653,2.06552193247743E-14,5.03785837189618E-16
-209.183673469388,5.10204081632653,2.06552193247743E-14,-5.03785837189618E-16
-209.183673469388,15.3061224489796,1.98126124333229E-14,-1.44970334877972E-15
-209.183673469388,25.5102040816326,1.82291160893141E-14,-2.22306293772124E-15
-209.183673469388,35.7142857142857,1.60879760303065E-14,-2.74672761493037E-15
-209.183673469388,45.9183673469388,1.36191230458494E-14,-2.98956359543036E-15
-209.183673469388,56.1224489795918,1.10588205292357E-14,-2.96700062979495E-15
-209.183673469388,66.3265306122449,8.61351490876774E-15,-2.73111448326782E-15
-209.183673469388,76.530612244898,6.43522806180043E-15,-2.35435172992699E-15
-209.183673469388,86.734693877551,4.61168259722709E-15,-1.91216107689904E-15
-209.183673469388,96.9387755102041,3.17005508240853E-15,-1.4690499162381E-15
-209.183673469388,107.142857142857,2.09019180821123E-15,-1.07058604810819E-15
-209.183673469388,117.34693877551,1.32195723921462E-15,-7.4158576833991E-16
-209.183673469388,127.551020408163,8.01974587477272E-16,-4.89008894803215E-16
-209.183673469388,137.755102040816,4.6667629305881E-16,-3.07323412502143E-16
-209.183673469388,147.959183673469,2.60485051507348E-16,-1.84245524236904E-16
-209.183673469388,158.163265306122,1.39463899650554E-16,-1.05448314369931E-16
-209.183673469388,168.367346938775,7.16230378090943E-17,-5.76478109195149E-17
-209.183673469388,178.571428571429,3.52821955716273E-17,-3.0118947439194E-17
-209.183673469388,188.775510204082,1.66713359046971E-17,-1.50448641091169E-17
-209.183673469388,198.979591836735,7.55609021335E-18,-7.18750044684512E-18
-209.183673469388,209.183673469388,3.28500322326743E-18,-3.28500322326743E-18
-209.183673469388,219.387755102041,1.36989221920746E-18,-1.43671622990051E-18
-209.183673469388,229.591836734694,5.47960093557077E-19,-6.01419614879718E-19
-209.183673469388,239.795918367347,2.10243896401924E-19,-2.41011295875377E-19
-209.183673469388,250,7.73766272417324E-20,-9.24745057279241E-20
-198.979591836735,-250,1.69298020451068E-19,2.12707769284675E-19
-198.979591836735,-239.795918367347,4.6000810246717E-19,5.54368738870692E-19
-198.979591836735,-229.591836734694,1.19892223830908E-18,1.38337181343356E-18
-198.979591836735,-219.387755102041,2.99728805985371E-18,3.30470221983871E-18
-198.979591836735,-209.183673469388,7.18750044684512E-18,7.55609021335E-18
-198.979591836735,-198.979591836735,1.65325261784222E-17,1.65325261784222E-17
-198.979591836735,-188.775510204082,3.64764434372133E-17,3.46058565942793E-17
-198.979591836735,-178.571428571429,7.71965137327018E-17,6.92789225806298E-17
-198.979591836735,-168.367346938775,1.56709318460185E-16,1.32600192543234E-16
-198.979591836735,-158.163265306122,3.05143335616335E-16,2.42549830874523E-16
-198.979591836735,-147.959183673469,5.69934425283663E-16,4.23797393159647E-16
-198.979591836735,-137.755102040816,1.02107542578319E-15,7.06898371696054E-16
-198.979591836735,-127.551020408163,1.75469925418423E-15,1.12480721422066E-15
-198.979591836735,-117.34693877551,2.89240758739044E-15,1.70577883358923E-15
-198.979591836735,-107.142857142857,4.57328457065967E-15,2.46253784573982E-15
-198.979591836735,-96.9387755102041,6.93599694514557E-15,3.37907543481451E-15
-198.979591836735,-86.734693877551,1.00902399405778E-14,4.39830971768777E-15
-198.979591836735,-76.530612244898,1.40801093412094E-14,5.41542666969593E-15
-198.979591836735,-66.3265306122449,1.88461435341365E-14,6.28204784471215E-15
-198.979591836735,-56.1224489795918,2.41964077638146E-14,6.8246278308195E-15
-198.979591836735,-45.9183673469388,2.97982821704876E-14,6.87652665472792E-15
-198.979591836735,-35.7142857142857,3.52000674117726E-14,6.31796081749765E-15
-198.979591836735,-25.5102040816326,3.98848254119805E-14,5.11343915538212E-15
-198.979591836735,-15.3061224489796,4.33494736654596E-14,3.33457489734305E-15
-198.979591836735,-5.10204081632653,4.51930753295127E-14,1.15879680332084E-15
-198.979591836735,5.10204081632653,4.51930753295127E-14,-1.15879680332084E-15
-198.979591836735,15.3061224489796,4.33494736654596E-14,-3.33457489734305E-15
-198.979591836735,25.5102040816326,3.98848254119805E-14,-5.11343915538212E-15
-198.979591836735,35.7142857142857,3.52000674117726E-14,-6.31796081749765E-15
-198.979591836735,45.9183673469388,2.97982821704876E-14,-6.87652665472792E-15
-198.979591836735,56.1224489795918,2.41964077638146E-14,-6.8246278308195E-15
-198.979591836735,66.3265306122449,1.88461435341365E-14,-6.28204784471215E-15
-198.979591836735,76.530612244898,1.40801093412094E-14,-5.41542666969593E-15
-198.979591836735,86.734693877551,1.00902399405778E-14,-4.39830971768777E-15
-198.979591836735,96.9387755102041,6.93599694514557E-15,-3.37907543481451E-15
-198.979591836735,107.142857142857,4.57328457065967E-15,-2.46253784573982E-15
-198.979591836735,117.34693877551,2.89240758739044E-15,-1.70577883358923E-15
-198.979591836735,127.551020408163,1.75469925418423E-15,-1.12480721422066E-15
-198.979591836735,137.755102040816,1.02107542578319E-15,-7.06898371696054E-16
-198.979591836735,147.959183673469,5.69934425283663E-16,-4.23797393159647E-16
-198.979591836735,158.163265306122,3.05143335616335E-16,-2.42549830874523E-16
-198.979591836735,168.367346938775,1.56709318460185E-16,-1.32600192543234E-16
-198.979591836735,178.571428571429,7.71965137327018E-17,-6.92789225806298E-17
-198.979591836735,188.775510204082,3.64764434372133E-17,-3.46058565942793E-17
-198.979591836735,198.979591836735,1.65325261784222E-17,-1.65325261784222E-17
-198.979591836735,209.183673469388,7.18750044684512E-18,-7.55609021335E-18
-198.979591836735,219.387755102041,2.99728805985371E-18,-3.30470221983871E-18
-198.979591836735,229.591836734694,1.19892223830908E-18,-1.38337181343356E-18
-198.979591836735,239.795918367347,4.6000810246717E-19,-5.54368738870692E-19
-198.979591836735,250,1.69298020451068E-19,-2.12707769284675E-19
-188.775510204082,-250,3.54374337846976E-19,4.69306555527077E-19
-188.775510204082,-239.795918367347,9.62888203192099E-19,1.22312825810888E-18
-188.775510204082,-229.591836734694,2.50958205653617E-18,3.05219439308453E-18
